	Region	OPEs	POs	QPSs	Sucralose	Atrazine	"1,3-Diphenylguanidine"
site1	North	2.282793959	NA	1.09233574	2.641559206	0.765744804	1.409381929
site2	North	2.271222868	NA	1.018149443	2.816754544	1.112280658	2.427424296
site3	North	2.496121943	1.793078117	1.305437706	3.07176114	1.657029494	1.619099258
site4	North	2.401564044	2.345170202	1.41751278	2.915549446	1.369250057	1.665666115
site5	North	2.259017071	2.177588912	1.34701042	3.01065678	1.606877251	1.639971453
site6	North	2.270560076	1.42538657	1.13476134	3.134923636	2.424345389	1.497479407
site7	North	2.31665396	1.520734078	1.105827602	2.984030309	2.529387192	1.482201663
site8	North	2.364995052	1.182778569	1.195263999	3.235927487	1.965197754	1.468655302
site9	North	2.41139924	1.13083391	1.184019606	3.224472867	1.952143453	1.474137852
site10	North	2.474974946	1.49509101	1.134048061	2.769079292	2.442697659	1.503035772
site11	North	2.375926183	1.232793402	1.079464005	2.691203838	2.280119985	1.435272346
site12	North	2.597183344	1.581833083	0.99478535	2.875249713	2.039995047	1.47953875
site13	North	2.832211594	1.609193959	0.869490519	2.324691526	1.884221135	1.573399931
site14	North	2.203520599	2.108082957	NA	2.471572812	0.976388132	1.88739271
site15	North	2.106608934	1.791263964	1.694767498	2.407381218	1.112853341	1.4311069
site16	North	1.997471439	1.663981471	1.092162176	2.461333399	1.571986496	1.411702036
site17	North	1.802333051	0.780141711	0.884457543	1.932523671	1.038022244	1.362844814
site18	North	2.015948931	0.856932741	0.964787203	2.005755726	1.491345965	1.219149633
site19	South	2.525548682	1.846091605	1.099150163	2.484460265	-0.114891006	1.934267901
site20	South	2.473378854	1.823205838	1.067965336	2.425028912	0.346392842	2.516022344
site21	South	2.141188119	2.019683882	1.52425341	2.265328669	0.813947683	2.14587106
site22	South	1.991065109	2.202115058	1.363575178	2.292463439	0.617728518	1.986283269
site23	South	2.296835115	2.194259178	1.499269039	2.808970733	0.618441321	2.003890281
site24	South	2.359505828	1.55639508	0.888265921	3.130125726	-0.519962531	2.781165159
site25	South	2.237308031	1.21473208	0.780961562	2.57068401	-0.323904152	3.136297082
site26	South	2.083227143	1.138247448	0.791749204	2.850532284	0.054168675	3.367198617
site27	South	2.01916357	1.151848864	0.726381743	2.899326166	-0.549611183	2.428319796
site28	South	2.27824122	1.505160502	1.027524433	2.51432713	1.061251945	2.631536787
site29	South	2.248714911	1.051528941	0.976814233	2.623380521	0.956217197	2.458317353
site30	South	2.083417198	1.658856764	1.231199659	2.389302362	1.095005339	1.262096265
site31	South	2.724907121	1.861437527	1.306290559	3.163856206	1.078944465	2.085095988
site32	South	2.614840465	1.649629916	1.49949395	3.08311774	1.230342933	1.865642854
site33	South	2.311793832	1.6025593	1.182641372	2.77503075	1.417899678	2.817368059
site34	South	2.665679578	1.66495022	1.461397962	3.209641294	1.793485391	2.540716847
site35	South	2.59982728	1.711544893	1.413964175	2.971305097	1.683251892	2.647920825
site36	South	2.38093038	1.694346213	1.037933614	2.893049396	0.60480139	1.998520216
site37	South	2.487672307	1.569448869	0.994704205	2.951477665	0.58586462	1.960462928
site38	South	2.737780723	1.947516323	1.501656835	2.738639047	1.156024234	2.197580417
site39	South	3.033868139	2.133536236	1.809713808	2.995012127	1.616291132	1.828162897
site40	South	2.977972234	2.030376206	1.72165047	3.022819933	1.535156245	2.639595225
site41	South	2.011550276	1.164590711	0.939241267	2.797511245	0.911896692	3.099772476
site42	South	1.966876902	1.229356784	0.825815192	2.594239428	0.722905844	2.774090494
site43	South	1.981006421	0.929295472	0.800600513	2.663636666	0.798454499	1.802002369
site44	South	2.154355074	1.161844863	0.749316489	2.726946618	0.358655824	3.133985949
site45	South	2.424162646	1.051779496	0.879073988	2.582220818	2.470894937	2.0527846
site46	South	2.528586587	1.029775716	0.947133523	2.467008263	2.722075662	2.21335959
site47	South	2.583785737	1.492930798	1.00092044	2.833025188	1.882319877	2.590985052
site48	South	2.347598942	1.638047383	1.111808146	2.603835414	1.849229804	2.321922823
